MCU;CANAL;SEGMENTO;REC_JAN;REC_FEV;REC_MAR;REC_ABR;REC_MAI;REC_JUN;REC_JUL;REC_AGO;REC_SET;REC_OUT;REC_NOV;REC_DEZ;REC_ACU;META_JAN;META_FEV;META_MAR;META_ABR;META_MAI;META_JUN;META_JUL;META_AGO;META_SET;META_OUT;META_NOV;META_DEZ;META_ACU;ANT_JAN;ANT_FEV;ANT_MAR;ANT_ABR;ANT_MAI;ANT_JUN;ANT_JUL;ANT_AGO;ANT_SET;ANT_OUT;ANT_NOV;ANT_DEZ;ANT_ACU
14472;A FATURAR;ENCOMENDA;6928,34002;35186,35969;50803,84019;77253,57074;12735,58019;0;0;0;0;0;0;0;182907,6908;4485,690004;3353,269997;4104,27;3494;1591,110085;0;0;0;0;0;0;0;17028,34009;4368,770035;2779,960018;2435,650013;3316,820016;1384,349998;0;0;0;0;0;0;0;14285,55008
14472;A FATURAR;INTERNACIONAL;0;0;167,6499939;0;0;0;0;0;0;0;0;0;167,6499939;26,51000003;23,92000002;46,85;26,75999997;11,15666608;0;0;0;0;0;0;0;135,1966661;0;0;0;179;0;0;0;0;0;0;0;0;179
14472;A FATURAR;MALOTE;983,7299881;787,7299938;744,2900085;524,2799988;94,20000076;0;0;0;0;0;0;0;3134,22999;781,2599992;690,8599986;743,17;694,4800007;280,7647079;0;0;0;0;0;0;0;3190,534706;835,1000118;688,3199863;898,7800064;835,8199997;545,9399929;0;0;0;0;0;0;0;3803,959997
14472;A FATURAR;MENSAGEM;437,6000023;280,7000008;601,25;575,7299986;76,56999969;0;0;0;0;0;0;0;1971,850001;1024,700001;645,5199987;606,5400012;494,669999;268,9573099;0;0;0;0;0;0;0;3040,38731;1267,800005;443,4800014;765,2500038;483;243,3999977;0;0;0;0;0;0;0;3202,930008
14472;À VISTA;CONVENIÊNCIA;14568,47987;13414,21991;11075,52995;13726,41999;5080,559982;0;0;0;0;0;0;0;57865,2097;12558,64389;11145,84393;13813,63889;11813,11651;5677,731615;0;0;0;0;0;0;0;55008,97483;14825,77001;14557,01997;17017,04997;14153,14997;6980,599964;0;0;0;0;0;0;0;67533,58989
14472;À VISTA;ENCOMENDA;121909,1;113782,7896;105076,6695;111400,3099;44954,9198;0;0;0;0;0;0;0;497123,7888;106384,7898;97948,3;123484,6098;98535,0701;46491,21685;0;0;0;0;0;0;0;472843,9865;115334,7503;104315,7995;128785,5798;110580,2795;58106,27995;0;0;0;0;0;0;0;517122,6891
14472;À VISTA;INTERNACIONAL;10182,69995;13068,54997;13417,61005;17204,61009;4412,750031;0;0;0;0;0;0;0;58286,22009;7139,05;6876,089993;8980,969991;7220,470014;3279,872668;0;0;0;0;0;0;0;33496,45267;10508,65004;14547,83006;13031,07013;11086,98007;4392,240005;0;0;0;0;0;0;0;53566,77031
14472;À VISTA;MARKETING;1261,810009;1306,850014;1639,049994;1534,04999;276,4500008;0;0;0;0;0;0;0;6018,210008;1470,510001;1302,910004;1573,31;1299,179999;554,0065847;0;0;0;0;0;0;0;6199,916589;1399,630006;1033,469996;1318,169988;1048,200002;913,9699998;0;0;0;0;0;0;0;5713,439991
14472;À VISTA;MENSAGEM;10984,63003;9257,299993;8991,940062;9938,419993;2850,840003;0;0;0;0;0;0;0;42023,13008;10574,25;9698,21;12092,09;9549,55001;4299,436359;0;0;0;0;0;0;0;46213,53637;9084,749949;7153,729947;10508,55991;12091,68996;4292,379998;0;0;0;0;0;0;0;43131,10976
14472;À VISTA;OUTROS;0;0;0;65,34000015;7,920000076;0;0;0;0;0;0;0;73,26000023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14479;A FATURAR;CONVENIÊNCIA;0;0;0;0;0;0;0;0;0;0;0;0;0;35,19;15,29999998;12,77;11,98999999;2,350242685;0;0;0;0;0;0;0;77,60024266;0;0;0;0;0;0;0;0;0;0;0;0;0
14479;A FATURAR;ENCOMENDA;495,5499935;169,5700035;771,2499962;151,6100044;288,9700031;0;0;0;0;0;0;0;1876,950001;567,6000006;541,2699995;803,11;452,6;269,7520716;0;0;0;0;0;0;0;2634,332072;1395,29998;304,9000044;539,550005;89,34000015;265,5500011;0;0;0;0;0;0;0;2594,639991
14479;A FATURAR;MENSAGEM;0;0;50,75;0;0;0;0;0;0;0;0;0;50,75;0;0;23,56000005;411,0199992;5,982275251;0;0;0;0;0;0;0;440,5622745;0;0;0;505;24,5;0;0;0;0;0;0;0;529,5
14479;À VISTA;CONVENIÊNCIA;272,5999994;321,4899989;279,5299991;330,9900001;150,4999994;0;0;0;0;0;0;0;1355,109997;284,3519323;252,4069548;322,7144524;278,6332427;136,4827601;0;0;0;0;0;0;0;1274,589342;262,6999935;223,1299987;227,7799975;604,8599979;125,959999;0;0;0;0;0;0;0;1444,429986
14479;À VISTA;ENCOMENDA;645,450016;780,5399971;1533,950003;868,2799969;737,9600143;0;0;0;0;0;0;0;4566,180027;2965,009994;2729,88;3441,599993;2746,240003;1295,741935;0;0;0;0;0;0;0;13178,47192;1532,749996;944,2800064;1550,750011;2758,690002;282,3000011;0;0;0;0;0;0;0;7068,770018
14479;À VISTA;INTERNACIONAL;0;198,6499939;0;0;224,3500061;0;0;0;0;0;0;0;423;18,69;17,99999998;23,51999998;18,91000004;8,586267882;0;0;0;0;0;0;0;87,70626788;0;0;0;0;657,8499908;0;0;0;0;0;0;0;657,8499908
14479;À VISTA;MARKETING;0;0;0;0;0;0;0;0;0;0;0;0;0;8,920000009;7,900000024;9,54;7,879999992;3,357735653;0;0;0;0;0;0;0;37,59773568;0;0;0;0;8,550000191;0;0;0;0;0;0;0;8,550000191
14479;À VISTA;MENSAGEM;19,54999924;78;201,8000004;174,6000032;14,0000003;0;0;0;0;0;0;0;487,9500032;100,67;92,33;115,12;90,92000009;40,93235896;0;0;0;0;0;0;0;439,9723591;74,68000031;105,8499985;227,4499931;50,55000114;17,30000019;0;0;0;0;0;0;0;475,8299932
