Sigla;Descrição;Categoria;Tipo Concoord
LK; OBJETO INTERNACIONAL PRIME; PRIME EXPRÈS;OUTROS
LL; OBJETO INTERNACIONAL PRIME; PRIME EXPRÈS;OUTROS
LM; OBJETO INTERNACIONAL PRIME; PRIME EXPRÈS;OUTROS
LN; OBJETO INTERNACIONAL PRIME; PRIME EXPRÈS;OUTROS
LO; OBJETO INTERNACIONAL PRIME; PRIME EXPRÈS;OUTROS
LP; OBJETO INTERNACIONAL PRIME; PRIME EXPRÈS;OUTROS
LQ; OBJETO INTERNACIONAL PRIME; PRIME EXPRÈS;OUTROS
LR; OBJETO INTERNACIONAL PRIME; PRIME EXPRÈS;OUTROS
LS; OBJETO INTERNACIONAL PRIME; PRIME EXPRÈS;OUTROS
LT; OBJETO INTERNACIONAL PRIME; PRIME EXPRÈS;OUTROS
LU; OBJETO INTERNACIONAL PRIME; PRIME EXPRÈS;OUTROS
LV; OBJETO INTERNACIONAL PRIME; PRIME EXPRÈS;OUTROS
LW; OBJETO INTERNACIONAL PRIME; PRIME EXPRÈS;OUTROS
LX; OBJETO INTERNACIONAL PRIME; PRIME EXPRÈS;OUTROS
LY; OBJETO INTERNACIONAL PRIME; PRIME EXPRÈS;OUTROS
LZ; OBJETO INTERNACIONAL PRIME; PRIME EXPRÈS;OUTROS
MA; TELEGRAMA - SERVICOS ADICIONAIS; TELEGRAMA;OUTROS
MB; TELEGRAMA DE BALCAO; TELEGRAMA;OUTROS
MC; TELEGRAMA FONADO; TELEGRAMA;OUTROS
MD; MAQUINA DE FRANQUEAR (LOGICA); REGISTRADO LÓGICO;OUTROS
ME; TELEGRAMA; TELEGRAMA;OUTROS
MF; TELEGRAMA FONADO; TELEGRAMA;OUTROS
MG; ETIQUETA LOG TELEG BALCAO; TELEGRAMA;OUTROS
MH; CARTA VIA INTERNET; CARTA INTERNET/INTERNACIONAL;OUTROS
MI; CARTA VIA INTERNET (SMT); CARTA INTERNET/INTERNACIONAL;OUTROS
MJ; ETIQ LOG TELEGRAMA GRANDES CLIENTES; TELEGRAMA;OUTROS
MK; TELEGRAMA CORPORATIVO; TELEGRAMA;OUTROS
MM; TELEGRAMA GRANDES CLIENTES; TELEGRAMA;OUTROS
MN; ETIQ LÓG TELEGRAMA CORPORATIVO; TELEGRAMA;OUTROS
MO; ETIQUETA LOG TEL URG INTERN MO; TELEGRAMA;OUTROS
MP; TELEGRAMA PRÉ-PAGO; TELEGRAMA;OUTROS
MS; ENCOMENDA SAUDE; OBJETO INTERNACIONAL;OUTROS
MT; TELEGRAMA VIA TELEMAIL; TELEGRAMA;OUTROS
MV; ETIQUETA LOG VALE POSTAL MV; TELEGRAMA;OUTROS
MW; ETIQ LOG TELEG URG INTERNET MW; TELEGRAMA;OUTROS
MY; TELEGRAMA INTERNACIONAL ENTRANTE; TELEGRAMA INTERNACIONAL;OUTROS
MZ; TELEGRAMA VIA CORREIOS ON LINE; TELEGRAMA;OUTROS
NA; ETIQ LOG PACKET STANDARD NA; PACKET STANDARD IMPORTAÇÃO;OUTROS
NB; ETIQ LOG PACKET STANDARD; PACKET STANDARD IMPORTAÇÃO;OUTROS
NC; ETIQ LOG PACKET STANDARD; PACKET STANDARD IMPORTAÇÃO;OUTROS
ND; ETIQ LOG PACKET STANDARD; PACKET STANDARD IMPORTAÇÃO;OUTROS
NE; TELE SENA RESGATADA; OBJETO INTERNACIONAL;OUTROS
NL; CORREIOS PACKET STANDARD; PACKET STANDARD IMPORTAÇÃO;OUTROS
NM; ETIQ LOG PACKET STANDARD; PACKET STANDARD IMPORTAÇÃO;OUTROS
NN; ETQ LOG PACKET STANDARD; PACKET STANDARD IMPORTAÇÃO;OUTROS
NO; ETIQ LOG PACKET STANDARD; PACKET STANDARD IMPORTAÇÃO;OUTROS
NX; CORREIOS PACKET STANDARD; PACKET STANDARD IMPORTAÇÃO;OUTROS
OA; ENCOMENDA SEDEX (ETIQ LOGICA); SEDEX;SEDEX
